Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-L,USGS-Earthquakes,12,103433.27974251077
TS_2DIFF+BOS-L,USGS-Earthquakes,13,212428.6057152405
TS_2DIFF+BOS-H,USGS-Earthquakes,5,930.8882410619672
TS_2DIFF+BOS-H,USGS-Earthquakes,6,1604.467648959886
TS_2DIFF+BOS-H,USGS-Earthquakes,7,2856.954011616914
TS_2DIFF+BOS-H,USGS-Earthquakes,8,5400.427425063866
TS_2DIFF+BOS-H,USGS-Earthquakes,9,10621.84497003434
TS_2DIFF+BOS-H,USGS-Earthquakes,10,19567.76664160368
TS_2DIFF+BOS-H,USGS-Earthquakes,11,37588.56733809091
TS_2DIFF+BOS-H,USGS-Earthquakes,12,78385.68331816363
TS_2DIFF+BOS-H,USGS-Earthquakes,13,170090.0709238569
TS_2DIFF+BOS-V,Vehicle-Charge,5,949.0097201767305
TS_2DIFF+BOS-V,Vehicle-Charge,6,1657.9675994108984
TS_2DIFF+BOS-V,Vehicle-Charge,7,3095.7525773195875
TS_2DIFF+BOS-V,Vehicle-Charge,8,5760.414727540501
TS_2DIFF+BOS-V,Vehicle-Charge,9,14883.741973490427
TS_2DIFF+BOS-V,Vehicle-Charge,10,28500.076583210604
TS_2DIFF+BOS-V,Vehicle-Charge,11,53269.113402061856
TS_2DIFF+BOS-V,Vehicle-Charge,12,101145.26067746687
TS_2DIFF+BOS-V,Vehicle-Charge,13,210291.89749631812
TS_2DIFF+BOS-L,Vehicle-Charge,5,958.2468335787923
TS_2DIFF+BOS-L,Vehicle-Charge,6,1521.918114874816
TS_2DIFF+BOS-L,Vehicle-Charge,7,2951.9552282768777
TS_2DIFF+BOS-L,Vehicle-Charge,8,5230.166715758468
TS_2DIFF+BOS-L,Vehicle-Charge,9,10638.289248895435
TS_2DIFF+BOS-L,Vehicle-Charge,10,19167.9528718704
TS_2DIFF+BOS-L,Vehicle-Charge,11,39880.20029455081
TS_2DIFF+BOS-L,Vehicle-Charge,12,78839.85625920471
TS_2DIFF+BOS-L,Vehicle-Charge,13,173600.42415316642
TS_2DIFF+BOS-H,Vehicle-Charge,5,760.5254786450663
TS_2DIFF+BOS-H,Vehicle-Charge,6,1183.7455081001472
TS_2DIFF+BOS-H,Vehicle-Charge,7,2045.5493372606775
TS_2DIFF+BOS-H,Vehicle-Charge,8,3735.0362297496317
TS_2DIFF+BOS-H,Vehicle-Charge,9,7353.496318114875
TS_2DIFF+BOS-H,Vehicle-Charge,10,15706.863033873344
TS_2DIFF+BOS-H,Vehicle-Charge,11,40524.460677466865
TS_2DIFF+BOS-H,Vehicle-Charge,12,65982.39764359352
TS_2DIFF+BOS-H,Vehicle-Charge,13,122182.65449189986
