Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-V,USGS-Earthquakes,12,15740377.933244513
TS_2DIFF+BOS-V,USGS-Earthquakes,13,43409071.71401812
TS_2DIFF+BOS-L,USGS-Earthquakes,5,7686.670096338606
TS_2DIFF+BOS-L,USGS-Earthquakes,6,9542.548105545955
TS_2DIFF+BOS-L,USGS-Earthquakes,7,12714.421278036469
TS_2DIFF+BOS-L,USGS-Earthquakes,8,18736.244755459993
TS_2DIFF+BOS-L,USGS-Earthquakes,9,30259.626165758684
TS_2DIFF+BOS-L,USGS-Earthquakes,10,53831.26851253369
TS_2DIFF+BOS-L,USGS-Earthquakes,11,101800.594370941
TS_2DIFF+BOS-L,USGS-Earthquakes,12,192770.96830191664
TS_2DIFF+BOS-L,USGS-Earthquakes,13,381693.9547195364
TS_2DIFF+BOS-H,USGS-Earthquakes,5,32620.21723014418
TS_2DIFF+BOS-H,USGS-Earthquakes,6,45311.02294802288
TS_2DIFF+BOS-H,USGS-Earthquakes,7,67872.13803110448
TS_2DIFF+BOS-H,USGS-Earthquakes,8,118165.61164681416
TS_2DIFF+BOS-H,USGS-Earthquakes,9,257437.21194053476
TS_2DIFF+BOS-H,USGS-Earthquakes,10,685949.3406851429
TS_2DIFF+BOS-H,USGS-Earthquakes,11,2035236.3512863468
TS_2DIFF+BOS-H,USGS-Earthquakes,12,5926053.256860442
TS_2DIFF+BOS-H,USGS-Earthquakes,13,16072935.106561666
TS_2DIFF+BOS-V,Vehicle-Charge,5,3480.6951399116347
TS_2DIFF+BOS-V,Vehicle-Charge,6,10103.19646539028
TS_2DIFF+BOS-V,Vehicle-Charge,7,31188.64212076583
TS_2DIFF+BOS-V,Vehicle-Charge,8,99188.19911634758
TS_2DIFF+BOS-V,Vehicle-Charge,9,310088.76583210606
TS_2DIFF+BOS-V,Vehicle-Charge,10,820554.5755522827
TS_2DIFF+BOS-V,Vehicle-Charge,11,1778550.762886598
TS_2DIFF+BOS-V,Vehicle-Charge,12,3573244.2297496316
TS_2DIFF+BOS-V,Vehicle-Charge,13,7183406.751104565
TS_2DIFF+BOS-L,Vehicle-Charge,5,5103.024447717231
TS_2DIFF+BOS-L,Vehicle-Charge,6,6798.421207658321
TS_2DIFF+BOS-L,Vehicle-Charge,7,9677.931075110457
TS_2DIFF+BOS-L,Vehicle-Charge,8,15292.964948453608
TS_2DIFF+BOS-L,Vehicle-Charge,9,25815.356701030927
TS_2DIFF+BOS-L,Vehicle-Charge,10,47818.83946980854
TS_2DIFF+BOS-L,Vehicle-Charge,11,91736.52547864507
TS_2DIFF+BOS-L,Vehicle-Charge,12,174963.74668630338
TS_2DIFF+BOS-L,Vehicle-Charge,13,350709.2924889543
TS_2DIFF+BOS-H,Vehicle-Charge,5,9549.59175257732
TS_2DIFF+BOS-H,Vehicle-Charge,6,15072.047128129603
TS_2DIFF+BOS-H,Vehicle-Charge,7,27118.20441826215
TS_2DIFF+BOS-H,Vehicle-Charge,8,62409.33136966127
TS_2DIFF+BOS-H,Vehicle-Charge,9,143834.29749631812
TS_2DIFF+BOS-H,Vehicle-Charge,10,325362.0500736377
TS_2DIFF+BOS-H,Vehicle-Charge,11,715233.9888070693
TS_2DIFF+BOS-H,Vehicle-Charge,12,1429210.8253313696
TS_2DIFF+BOS-H,Vehicle-Charge,13,2851855.9858615613
TS_2DIFF+BOS-V,CS-Sensors,5,3135.3984
TS_2DIFF+BOS-V,CS-Sensors,6,6593.65248
TS_2DIFF+BOS-V,CS-Sensors,7,13291.92576
TS_2DIFF+BOS-V,CS-Sensors,8,23549.08672
TS_2DIFF+BOS-V,CS-Sensors,9,38779.22816
TS_2DIFF+BOS-V,CS-Sensors,10,59616.3584
TS_2DIFF+BOS-V,CS-Sensors,11,88778.69056
TS_2DIFF+BOS-V,CS-Sensors,12,238544.44544
TS_2DIFF+BOS-V,CS-Sensors,13,428858.65472
TS_2DIFF+BOS-L,CS-Sensors,5,6391.04896
TS_2DIFF+BOS-L,CS-Sensors,6,8343.9424
TS_2DIFF+BOS-L,CS-Sensors,7,11971.05408
TS_2DIFF+BOS-L,CS-Sensors,8,18476.79232
TS_2DIFF+BOS-L,CS-Sensors,9,32141.696
TS_2DIFF+BOS-L,CS-Sensors,10,53654.09792
TS_2DIFF+BOS-L,CS-Sensors,11,98639.79008
TS_2DIFF+BOS-L,CS-Sensors,12,196320.01024
TS_2DIFF+BOS-L,CS-Sensors,13,429652.04992
TS_2DIFF+BOS-H,CS-Sensors,5,14594.96
TS_2DIFF+BOS-H,CS-Sensors,6,20406.5184
TS_2DIFF+BOS-H,CS-Sensors,7,29090.1568
TS_2DIFF+BOS-H,CS-Sensors,8,39091.60448
TS_2DIFF+BOS-H,CS-Sensors,9,61196.07808
TS_2DIFF+BOS-H,CS-Sensors,10,78517.9136
TS_2DIFF+BOS-H,CS-Sensors,11,136207.72864
TS_2DIFF+BOS-H,CS-Sensors,12,299589.632
TS_2DIFF+BOS-H,CS-Sensors,13,504636.2112
TS_2DIFF+BOS-V,Cyber-Vehicle,5,6996.182857142858
TS_2DIFF+BOS-V,Cyber-Vehicle,6,12367.418021978021
TS_2DIFF+BOS-V,Cyber-Vehicle,7,26325.50681318681
TS_2DIFF+BOS-V,Cyber-Vehicle,8,62968.516923076924
TS_2DIFF+BOS-V,Cyber-Vehicle,9,179298.16615384613
TS_2DIFF+BOS-V,Cyber-Vehicle,10,514829.6720879121
TS_2DIFF+BOS-V,Cyber-Vehicle,11,1411750.4281318684
TS_2DIFF+BOS-V,Cyber-Vehicle,12,3937194.5916483514
TS_2DIFF+BOS-V,Cyber-Vehicle,13,11124973.432967033
TS_2DIFF+BOS-L,Cyber-Vehicle,5,5304.983736263736
TS_2DIFF+BOS-L,Cyber-Vehicle,6,7194.788571428571
TS_2DIFF+BOS-L,Cyber-Vehicle,7,10443.674725274726
TS_2DIFF+BOS-L,Cyber-Vehicle,8,16124.378021978022
TS_2DIFF+BOS-L,Cyber-Vehicle,9,27243.238681318682
TS_2DIFF+BOS-L,Cyber-Vehicle,10,49280.81582417582
TS_2DIFF+BOS-L,Cyber-Vehicle,11,93189.17626373627
TS_2DIFF+BOS-L,Cyber-Vehicle,12,179270.77978021977
TS_2DIFF+BOS-L,Cyber-Vehicle,13,349611.15428571426
TS_2DIFF+BOS-H,Cyber-Vehicle,5,29987.378461538465
TS_2DIFF+BOS-H,Cyber-Vehicle,6,39578.663736263734
