Encoding,Dataset,Block Size,Compression Ratio
TS_2DIFF+BOS-V,Vehicle-Charge,12,2.862563237774031
TS_2DIFF+BOS-V,Vehicle-Charge,13,2.862563237774031
TS_2DIFF+BOS-L,Vehicle-Charge,5,1.7570190192780437
TS_2DIFF+BOS-L,Vehicle-Charge,6,2.1797752808988764
TS_2DIFF+BOS-L,Vehicle-Charge,7,2.4565846599131698
TS_2DIFF+BOS-L,Vehicle-Charge,8,2.608528620822128
TS_2DIFF+BOS-L,Vehicle-Charge,9,2.7094972067039107
TS_2DIFF+BOS-L,Vehicle-Charge,10,2.719807730823152
TS_2DIFF+BOS-L,Vehicle-Charge,11,2.743434343434344
TS_2DIFF+BOS-L,Vehicle-Charge,12,2.7362482369534558
TS_2DIFF+BOS-L,Vehicle-Charge,13,2.7362482369534558
TS_2DIFF+BOS-H,Vehicle-Charge,5,1.8378670997428612
TS_2DIFF+BOS-H,Vehicle-Charge,6,2.268626795857
TS_2DIFF+BOS-H,Vehicle-Charge,7,2.5312208760484625
TS_2DIFF+BOS-H,Vehicle-Charge,8,2.686449060336301
TS_2DIFF+BOS-H,Vehicle-Charge,9,2.773126403920768
TS_2DIFF+BOS-H,Vehicle-Charge,10,2.8203530633437173
TS_2DIFF+BOS-H,Vehicle-Charge,11,2.849349559378935
TS_2DIFF+BOS-H,Vehicle-Charge,12,2.862563237774031
TS_2DIFF+BOS-H,Vehicle-Charge,13,2.862563237774031
TS_2DIFF+BOS-V,CS-Sensors,5,2.0911971057832055
TS_2DIFF+BOS-V,CS-Sensors,6,2.7091093802912294
TS_2DIFF+BOS-V,CS-Sensors,7,3.179094276040756
TS_2DIFF+BOS-V,CS-Sensors,8,3.466054330401629
TS_2DIFF+BOS-V,CS-Sensors,9,3.624173235480656
TS_2DIFF+BOS-V,CS-Sensors,10,3.703806587220015
TS_2DIFF+BOS-V,CS-Sensors,11,3.7386322214018004
TS_2DIFF+BOS-V,CS-Sensors,12,3.7472130103235717
TS_2DIFF+BOS-V,CS-Sensors,13,3.7063461912659954
TS_2DIFF+BOS-L,CS-Sensors,5,2.045293013790388
TS_2DIFF+BOS-L,CS-Sensors,6,2.6728319991446936
TS_2DIFF+BOS-L,CS-Sensors,7,3.157911357428197
TS_2DIFF+BOS-L,CS-Sensors,8,3.4465525857760775
TS_2DIFF+BOS-L,CS-Sensors,9,3.591889513478565
TS_2DIFF+BOS-L,CS-Sensors,10,3.6248629348702748
TS_2DIFF+BOS-L,CS-Sensors,11,3.5834908576189495
TS_2DIFF+BOS-L,CS-Sensors,12,3.47665858343546
TS_2DIFF+BOS-L,CS-Sensors,13,3.403762859841555
TS_2DIFF+BOS-H,CS-Sensors,5,2.0922800098337158
TS_2DIFF+BOS-H,CS-Sensors,6,2.7104310940655107
TS_2DIFF+BOS-H,CS-Sensors,7,3.181319293110853
TS_2DIFF+BOS-H,CS-Sensors,8,3.4690904044959407
TS_2DIFF+BOS-H,CS-Sensors,9,3.6292371343543586
TS_2DIFF+BOS-H,CS-Sensors,10,3.710506298584442
TS_2DIFF+BOS-H,CS-Sensors,11,3.7444418441376084
TS_2DIFF+BOS-H,CS-Sensors,12,3.7509377344336086
