Encoding,Dataset,Compression Ratio
SPRINTZ+NEWPFOR,TH-Climate,4.712451264441823
SPRINTZ+OPTPFOR,TH-Climate,5.672594187298171
SPRINTZ+PFOR,TH-Climate,4.694651320243738
TS_2DIFF+FASTPFOR,TH-Climate,4.086921454274724
TS_2DIFF+NEWPFOR,TH-Climate,4.058343344730925
TS_2DIFF+OPTPFOR,TH-Climate,4.060845174613939
TS_2DIFF+PFOR,TH-Climate,4.25591161648792
SPRINTZ+BOS-O,TH-Climate,6.955782582297194
RLE+BOS-O,TH-Climate,4.850781027071311
TS_2DIFF+BOS-A,TH-Climate,4.081508732525268
RLE+BOS-A,TH-Climate,4.65430779421506
SPRINTZ+BOS-A,TH-Climate,5.937714079682713
TS_2DIFF+BWS,TH-Climate,4.768827032016363
RLE+BWS,TH-Climate,4.611542332093634
SPRINTZ+BWS,TH-Climate,6.377172176775256
TS_2DIFF+BOS-P,TH-Climate,7.038841694716036
SPRINTZ+BOS-P,TH-Climate,6.955782582297194
RLE+BOS-P,TH-Climate,4.850557785059461
BUFF,TY-Fuel,2.962349999746945
CHIMP,TY-Fuel,2.7322590583600235
GORILLA,TY-Fuel,2.938863839487452
PLAIN,TY-Fuel,2.3073405526011834
RLBE,TY-Fuel,1.4396839784087985
RLE,TY-Fuel,3.1141710184330442
SPRINTZ,TY-Fuel,2.769354514377638
TS_2DIFF,TY-Fuel,2.7618081441985556
TS_2DIFF+BOS-O,TY-Fuel,3.1251868779633516
Elf,TY-Fuel,2.1385014149550696
RLE+FASTPFOR,TY-Fuel,3.149028891160489
RLE+NEWPFOR,TY-Fuel,2.921641642041371
RLE+OPTPFOR,TY-Fuel,2.9854225323377004
RLE+PFOR,TY-Fuel,2.940399280611681
SPRINTZ+FASTPFOR,TY-Fuel,2.9350616788687196
SPRINTZ+NEWPFOR,TY-Fuel,2.7642602790188056
SPRINTZ+OPTPFOR,TY-Fuel,2.891133613237837
SPRINTZ+PFOR,TY-Fuel,2.7210558613507883
TS_2DIFF+FASTPFOR,TY-Fuel,2.763451115181961
TS_2DIFF+NEWPFOR,TY-Fuel,2.635795408489521
TS_2DIFF+OPTPFOR,TY-Fuel,2.6387661623356715
TS_2DIFF+PFOR,TY-Fuel,2.6951696827370264
SPRINTZ+BOS-O,TY-Fuel,3.3245199748947085
RLE+BOS-O,TY-Fuel,3.328423901917522
TS_2DIFF+BOS-A,TY-Fuel,2.9444374575546446
RLE+BOS-A,TY-Fuel,3.2003827489576926
SPRINTZ+BOS-A,TY-Fuel,3.070132417851888
TS_2DIFF+BWS,TY-Fuel,2.936821533312762
