Encoding,Dataset,Encoding Time
TS_2DIFF+BOS-P,TY-Fuel,319.7254514701611
SPRINTZ+BOS-P,TY-Fuel,299.0666108557858
RLE+BOS-P,TY-Fuel,211.22386427704978
BUFF,TY-Transport,31.87155476714883
CHIMP,TY-Transport,15.061746156371822
GORILLA,TY-Transport,11.459228093323496
PLAIN,TY-Transport,8.849352906047102
RLBE,TY-Transport,832.8073515751219
RLE,TY-Transport,25.24071429468689
SPRINTZ,TY-Transport,61.158122796328065
TS_2DIFF,TY-Transport,7.092585216129605
Elf,TY-Transport,78.15113288857779
TS_2DIFF+BOS-O,TY-Transport,85.17388418985465
RLE+FASTPFOR,TY-Transport,60.175149947155035
RLE+NEWPFOR,TY-Transport,62.98240808200975
RLE+OPTPFOR,TY-Transport,112.60239135469575
RLE+PFOR,TY-Transport,67.20546222482383
SPRINTZ+FASTPFOR,TY-Transport,20.127385068275366
SPRINTZ+NEWPFOR,TY-Transport,28.790406053499556
SPRINTZ+OPTPFOR,TY-Transport,89.64552330489502
SPRINTZ+PFOR,TY-Transport,31.21065779478431
TS_2DIFF+FASTPFOR,TY-Transport,21.563623595310517
TS_2DIFF+NEWPFOR,TY-Transport,25.09828194346401
TS_2DIFF+OPTPFOR,TY-Transport,58.31053410268028
TS_2DIFF+PFOR,TY-Transport,29.558881795261847
SPRINTZ+BOS-O,TY-Transport,82.517029579618
RLE+BOS-O,TY-Transport,39.565196290518635
TS_2DIFF+BOS-A,TY-Transport,108.62716157335426
RLE+BOS-A,TY-Transport,23.56869703194014
SPRINTZ+BOS-A,TY-Transport,20.62689495972902
TS_2DIFF+BWS,TY-Transport,89.70455499765069
RLE+BWS,TY-Transport,81.68910953507631
SPRINTZ+BWS,TY-Transport,82.17444048731461
TS_2DIFF+BOS-P,TY-Transport,83.92774631835331
SPRINTZ+BOS-P,TY-Transport,99.42363923402891
RLE+BOS-P,TY-Transport,65.45407708023603
BUFF,YZ-Electricity,52.160284951024046
CHIMP,YZ-Electricity,21.4691797763926
GORILLA,YZ-Electricity,17.147620461066587
PLAIN,YZ-Electricity,14.962006530127635
RLBE,YZ-Electricity,888.3708320965667
RLE,YZ-Electricity,16.153556940734145
SPRINTZ,YZ-Electricity,60.06371821509845
TS_2DIFF,YZ-Electricity,8.09102602156921
Elf,YZ-Electricity,114.64058171745152
TS_2DIFF+BOS-O,YZ-Electricity,397.091619669536
RLE+FASTPFOR,YZ-Electricity,73.61650341347581
RLE+NEWPFOR,YZ-Electricity,81.89047195013357
RLE+OPTPFOR,YZ-Electricity,126.17908380330464
RLE+PFOR,YZ-Electricity,91.24863955674284
SPRINTZ+FASTPFOR,YZ-Electricity,29.987434451370337
SPRINTZ+NEWPFOR,YZ-Electricity,40.41337686751756
SPRINTZ+OPTPFOR,YZ-Electricity,149.12931631542494
SPRINTZ+PFOR,YZ-Electricity,41.382210349262884
TS_2DIFF+FASTPFOR,YZ-Electricity,35.89502325121203
TS_2DIFF+NEWPFOR,YZ-Electricity,40.91223904224795
TS_2DIFF+OPTPFOR,YZ-Electricity,62.102206391609776
TS_2DIFF+PFOR,YZ-Electricity,46.02839616107648
SPRINTZ+BOS-O,YZ-Electricity,407.6700306718116
RLE+BOS-O,YZ-Electricity,476.9372711981795
TS_2DIFF+BOS-A,YZ-Electricity,88.26803205699021
RLE+BOS-A,YZ-Electricity,30.517463144355396
SPRINTZ+BOS-A,YZ-Electricity,30.002473533194816
TS_2DIFF+BWS,YZ-Electricity,97.69417235579301
RLE+BWS,YZ-Electricity,104.81953101810626
SPRINTZ+BWS,YZ-Electricity,112.83724151578114
TS_2DIFF+BOS-P,YZ-Electricity,432.91233798357575
SPRINTZ+BOS-P,YZ-Electricity,328.67656079944595
RLE+BOS-P,YZ-Electricity,289.0035618878005
