Encoding,Dataset,Decoding Time
SPRINTZ+BOS-P,USGS-Earthquakes,25.794316418015452
RLE+BOS-P,USGS-Earthquakes,25.040760331886716
BUFF,Vehicle-Charge,2.1207658321060383
CHIMP,Vehicle-Charge,2.6073637702503683
GORILLA,Vehicle-Charge,2.755522827687776
PLAIN,Vehicle-Charge,26.981737849779087
RLBE,Vehicle-Charge,44.3879234167894
RLE,Vehicle-Charge,42.00736377025037
SPRINTZ,Vehicle-Charge,79.0279823269514
TS_2DIFF,Vehicle-Charge,50.5039764359352
Elf,Vehicle-Charge,30.255889281507656
TS_2DIFF+BOS-O,Vehicle-Charge,21.09160530191458
RLE+FASTPFOR,Vehicle-Charge,21.78438880706922
RLE+NEWPFOR,Vehicle-Charge,16.863033873343152
RLE+OPTPFOR,Vehicle-Charge,16.200294550810014
RLE+PFOR,Vehicle-Charge,17.537849779086894
SPRINTZ+FASTPFOR,Vehicle-Charge,25.39263622974963
SPRINTZ+NEWPFOR,Vehicle-Charge,25.466273932253312
SPRINTZ+OPTPFOR,Vehicle-Charge,24.57054491899853
SPRINTZ+PFOR,Vehicle-Charge,24.68100147275405
TS_2DIFF+FASTPFOR,Vehicle-Charge,18.188512518409425
TS_2DIFF+NEWPFOR,Vehicle-Charge,16.997938144329897
TS_2DIFF+OPTPFOR,Vehicle-Charge,17.243298969072164
TS_2DIFF+PFOR,Vehicle-Charge,17.673048600883654
SPRINTZ+BOS-O,Vehicle-Charge,15.429749631811488
RLE+BOS-O,Vehicle-Charge,16.45360824742268
TS_2DIFF+BOS-A,Vehicle-Charge,82.64594992636229
RLE+BOS-A,Vehicle-Charge,30.11340206185567
SPRINTZ+BOS-A,Vehicle-Charge,58.197643593519885
TS_2DIFF+BWS,Vehicle-Charge,12.68041237113402
RLE+BWS,Vehicle-Charge,11.606480117820324
SPRINTZ+BWS,Vehicle-Charge,15.651546391752577
TS_2DIFF+BOS-P,Vehicle-Charge,23.524889543446246
SPRINTZ+BOS-P,Vehicle-Charge,14.760235640648013
RLE+BOS-P,Vehicle-Charge,14.11222385861561
BUFF,CS-Sensors,1.05189
CHIMP,CS-Sensors,2.04959
GORILLA,CS-Sensors,3.27053
PLAIN,CS-Sensors,9.2796
RLBE,CS-Sensors,26.60854
RLE,CS-Sensors,7.70519
SPRINTZ,CS-Sensors,26.39759
TS_2DIFF,CS-Sensors,11.2866
Elf,CS-Sensors,64.14121
TS_2DIFF+BOS-O,CS-Sensors,43.8184
RLE+FASTPFOR,CS-Sensors,30.0475
RLE+NEWPFOR,CS-Sensors,20.50333
RLE+OPTPFOR,CS-Sensors,22.90042
